date,tier,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
2024-02-07,tier_4_observed_baseline,4,4,84906.592854,84906.592854,0.0,84906.592854
2024-02-08,tier_1_top_1pct,13,1,386440.713389,386440.713389,0.0,386440.713389
2024-02-08,tier_2_top_5pct,4,4,171013.42245,171013.42245,0.0,171013.42245
2024-02-08,tier_3_top_10pct,2,2,68020.0,68020.0,0.0,68020.0
2024-02-08,tier_4_observed_baseline,2,1,31209.81367,31209.81367,0.0,31209.81367
2024-02-09,tier_1_top_1pct,20,3,747313.423412,747313.423412,0.0,747313.423412
2024-02-09,tier_2_top_5pct,4,3,65940.039093,65940.039093,0.0,65940.039093
2024-02-09,tier_3_top_10pct,1,1,14715.0,14715.0,0.0,14715.0
2024-02-09,tier_4_observed_baseline,8,7,176833.480895,176833.480895,0.0,176833.480895
2024-02-10,tier_1_top_1pct,4,2,48279.029331,48279.029331,0.0,48279.029331
2024-02-10,tier_2_top_5pct,1,1,10208.524,10208.524,0.0,10208.524
2024-02-10,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-10,tier_4_observed_baseline,3,2,37304.485109,37304.485109,0.0,37304.485109
2024-02-11,tier_1_top_1pct,4,1,53476.246,53476.246,0.0,53476.246
2024-02-11,tier_2_top_5pct,1,1,12259.0,12259.0,0.0,12259.0
2024-02-11,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-11,tier_4_observed_baseline,2,2,71952.206526,71952.206526,0.0,71952.206526
2024-02-12,tier_1_top_1pct,7,1,533214.2004270001,533214.2004270001,0.0,533214.2004270001
2024-02-12,tier_2_top_5pct,4,3,82155.080585,82155.080585,0.0,82155.080585
2024-02-12,tier_3_top_10pct,2,2,54041.8366,54041.8366,0.0,54041.8366
2024-02-12,tier_4_observed_baseline,2,2,38072.464,38072.464,0.0,38072.464
2024-02-13,tier_1_top_1pct,4,1,150936.65059799998,150936.65059799998,0.0,150936.65059799998
2024-02-13,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-13,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-13,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-02-14,tier_1_top_1pct,6,1,306331.755957,306331.755957,0.0,306331.755957
2024-02-14,tier_2_top_5pct,3,2,128622.0,128622.0,0.0,128622.0
2024-02-14,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-14,tier_4_observed_baseline,2,2,45636.0,45636.0,0.0,45636.0
