observed_at_utc,poll_id,poll_published_at_utc,window_start_utc,window_end_utc,token_id,yes_probability,source_name,source_url
2026-04-30T10:00:18Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T11:00:19Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.395,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T12:00:14Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.395,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T13:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.39,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T14:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T15:00:11Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.39,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T16:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.41,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T17:00:12Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.38,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T18:00:11Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.38,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T19:00:08Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T20:00:10Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T21:00:08Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T22:00:08Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T23:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
