window_label,event_id,event_date,date,relative_day,tier,activity_date_available,has_activity,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-14,-14,tier_2_top_5pct,True,True,1,1,11400.0304,11400.0304,0.0,11400.0304
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-14,-14,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-14,-14,tier_4_observed_baseline,True,True,3,3,39886.554666,39886.554666,0.0,39886.554666
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-15,-13,tier_1_top_1pct,True,True,8,1,225028.461784,225028.461784,0.0,225028.461784
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-15,-13,tier_2_top_5pct,True,True,1,1,10498.65062,10498.65062,0.0,10498.65062
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-15,-13,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-15,-13,tier_4_observed_baseline,True,True,5,4,103238.4218,103238.4218,0.0,103238.4218
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-16,-12,tier_1_top_1pct,True,True,7,3,151790.88949899998,151790.88949899998,0.0,151790.88949899998
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-16,-12,tier_2_top_5pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-16,-12,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-16,-12,tier_4_observed_baseline,True,True,1,1,51237.1075,51237.1075,0.0,51237.1075
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-17,-11,tier_1_top_1pct,True,True,10,1,197748.008215,197748.008215,0.0,197748.008215
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-17,-11,tier_2_top_5pct,True,True,1,1,15600.0,15600.0,0.0,15600.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-17,-11,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-17,-11,tier_4_observed_baseline,True,True,1,1,19380.0,19380.0,0.0,19380.0
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-18,-10,tier_1_top_1pct,True,True,12,2,269825.63594,269825.63594,0.0,269825.63594
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-18,-10,tier_2_top_5pct,True,True,1,1,19259.999998,19259.999998,0.0,19259.999998
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-18,-10,tier_3_top_10pct,True,True,2,2,24855.796,24855.796,0.0,24855.796
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-18,-10,tier_4_observed_baseline,True,True,6,5,94962.447884,94962.447884,0.0,94962.447884
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-19,-9,tier_1_top_1pct,True,True,17,2,407390.153172,407390.153172,0.0,407390.153172
